,director,director_score
1038,토미 위르콜라,6
1039,토비 젠켈,4
1040,톰 맥그라스,12
1041,톰 바우건,4
1042,톰 티크베어,2
1043,톰 행크스,2
1044,톰 후퍼,20
1045,트란 안 홍,2
1046,트래비스 클러프,2
1047,트레버 월,2
1048,트로이 닉시,2
1049,트리시 시에,4
1050,티모시 렉카트,2
1051,티무르 베크맘베토브,16
1052,팀 밀러,10
1053,팀 버튼,14
1054,팀 버튼 ,12
1055,팀 존슨,2
1056,팀 힐,6
1057,파올로 소렌티노,2
1058,파윈 푸리킷판야,2
1059,패트리시아 리건,2
1060,패트릭 루지어,2
1061,패트릭 알레산드렝,4
1062,패트릭 휴즈,8
1063,팻티 젠킨스,8
1064,퍼갈 레일리,4
1065,펑샤오강,4
1066,페드 알바레즈,6
1067,페르난도 메이렐레스,4
1068,페이튼 리드,14
1069,폴 J. 볼거,2
1070,폴 W.S. 앤더슨,26
1071,폴 그린그래스,14
1072,폴 맥기건,4
1073,폴 쉐어링,2
1074,폴 앤드류 윌리엄스,2
1075,폴 웨이츠,2
1076,폴 킹,4
1077,폴 티비트,2
1078,폴 페이그,14
1079,폴 해기스,2
1080,프라챠 핀카엡,2
1081,프라파스 콜사라논,2
1082,프란시스 로렌스,26
1083,프랭크 다라본트,4
1084,프랭크 밀러,2
1085,프랭키 첸,2
1086,프레드 카바예,2
1087,플렉스 할그렌,2
1088,플로리안 헨켈 폰 도너스마르크 ,4
1089,피에르 꼬팽,24
1090,피에르 모렐,12
1091,피에르 살바도리,2
1092,피터 램지,6
1093,피터 레페니오티스,2
1094,피터 버그,22
1095,피터 손,6
1096,피터 스피어이그,2
1097,피터 시걸,2
1098,피터 위어,2
1099,피터 잭슨,26
1100,피터 첼섬,2
1101,피터 콘웰,2
1102,피터 쿠센스,2
1103,피터 클라릿지,2
1104,피터 헤지스,2
1105,피트 닥터,18
1106,피트 트래비스,6
1107,필 로드,6
1108,필리다 로이드 ,14
1109,필립 G. 애트웰,2
1110,필립 그로닝 ,2
1111,필립 노이스,10
1112,필립 드 쇼브홍,2
1113,필립 칼드롱,2
1114,하기호,4
1115,하나도 준지,2
1116,하나부사 츠토무,2
1117,하네스 홀름,2
1118,하명중,2
1119,하시모토 마사카즈,6
1120,하우메 발라게로,2
1121,하우메 콜렛 세라,6
1122,하정우,6
1123,한동욱,6
1124,한상호,6
1125,한재림,36
1126,한준희,6
1127,한지승,4
1128,해럴드 즈워트,6
1129,허인무,2
1130,허정,20
1131,허종호,8
1132,허준형,2
1133,허진호,20
1134,헤랄드 지페르만,2
1135,헨리 셀릭,2
1136,헨리 유스트,2
1137,호거 태프,2
1138,호세 파딜라,4
1139,호셉 포조,2
1140,호소다 마모루,6
1141,홍기선,6
1142,홍상수,8
1143,홍석재,2
1144,홍원찬,2
1145,홍주연,2
1146,홍지영,14
1147,홍창표,6
1148,홍헌표,2
1149,황동혁,42
1150,황병국,6
1151,황수아,2
1152,황승재,2
1153,황인호,14
1154,후메이,2
1155,후안 디에고 솔라나스,2
1156,후안 안토니오 바요나,8
1157,후안 호세 캄파넬라,2
1158,후지모리 마사야,2
1159,히로키 류이치,2
1160,히시다 마사카즈,4
1161,히즈엠티 선교회,2
