,actor,final_audience_y
953,박신양,14.0
954,박신혜,56.0
955,박연미,2.0
956,박연진,2.0
957,박영규,12.0
958,박영남,6.0
959,박영석,6.0
960,박예슬,2.0
961,박예진,10.0
962,박용우,22.0
963,박용제,6.0
964,박용하,6.0
965,박원상,70.0
966,박원재,8.0
967,박유경,2.0
968,박유천,8.0
969,박유택,4.0
970,박윤식,6.0
971,박윤주,2.0
972,박윤호,10.0
973,박은빈,4.0
974,박은영,2.0
975,박은진,2.0
976,박은혜,2.0
977,박인정,4.0
978,박인환,22.0
979,박장면,4.0
980,박재범,2.0
981,박재영,6.0
982,박재우,10.0
983,박정민,44.0
984,박정오,2.0
985,박정준,2.0
986,박정철,2.0
987,박정학,2.0
988,박정현,2.0
989,박정호,4.0
990,박정희,2.0
991,박조호,2.0
992,박종원,2.0
993,박종윤,2.0
994,박종호,2.0
995,박종환,2.0
996,박주미,6.0
997,박주연,6.0
998,박주희,2.0
999,박준규,6.0
1000,박준면,2.0
1001,박준형,2.0
1002,박준호,2.0
1003,박준환,2.0
1004,박중훈,34.0
1005,박지선,6.0
1006,박지연,4.0
1007,박지영,12.0
1008,박지원,2.0
1009,박지윤,6.0
1010,박지은,6.0
1011,박지현,8.0
1012,박지환,2.0
1013,박지훈,2.0
1014,박진수,2.0
1015,박진영,4.0
1016,박진우,12.0
1017,박진주,6.0
1018,박진희,6.0
1019,박철민,74.0
1020,박충선,2.0
1021,박태영,4.0
1022,박팔영,2.0
1023,박하선,22.0
1024,박한별,12.0
1025,박해빛나,6.0
1026,박해일,86.0
1027,박해준,18.0
1028,박해진,2.0
1029,박혁권,54.0
1030,박현,2.0
1031,박현진,2.0
1032,박형서,2.0
1033,박형식,2.0
1034,박혜미,2.0
1035,박혜선,2.0
1036,박혜수,6.0
1037,박혜숙,16.0
1038,박혜준,2.0
1039,박호진,2.0
1040,박효신,2.0
1041,박효주,26.0
1042,박희순,92.0
1043,박희은,2.0
1044,박희정,2.0
1045,반민정,2.0
1046,발 킬머,2.0
1047,발리에리 르메르시,2.0
1048,밥 피터슨,6.0
1049,방연지,4.0
1050,방유설,6.0
1051,배두나,30.0
1052,배성민,6.0
1053,배성우,72.0
1054,배소은,2.0
1055,배수빈,14.0
1056,배수지,14.0
1057,배유람,4.0
1058,배유리,2.0
1059,배정미,2.0
1060,배종옥,4.0
1061,배준수,6.0
1062,배중식,2.0
1063,배진홍,2.0
1064,배한성,8.0
1065,배형준,2.0
1066,백도빈,6.0
1067,백동현,6.0
1068,백설아,4.0
1069,백성기,12.0
1070,백성현,10.0
1071,백수련,2.0
1072,백승일,2.0
1073,백승환,4.0
1074,백윤식,70.0
1075,백일섭,8.0
1076,백지원,2.0
1077,백진희,2.0
1078,백현익,4.0
1079,뱅상 카셀,16.0
1080,버지니아 가드너,2.0
1081,버지니아 매드슨,2.0
1082,버튼 페레즈,8.0
1083,번 고먼,6.0
1084,번 코엔,2.0
1085,베네딕트 컴버배치,56.0
1086,베니치오 델 토로,8.0
1087,베라 파미가,26.0
1088,베레니스 말로에,8.0
1089,베레니스 베조,2.0
1090,베르나르드 포처,2.0
1091,베르너 헤어조크,4.0
1092,베아트리즈 베르시아노,2.0
1093,베키 지,2.0
1094,베트 미들러,2.0
1095,베티 버클리,6.0
1096,베티 화이트,2.0
1097,벤 멘델슨,10.0
1098,벤 반스,8.0
1099,벤 버트,6.0
1100,벤 스틸러,36.0
1101,벤 애플렉,34.0
1102,벤 위쇼,14.0
1103,벤 채플린,2.0
1104,벤 킹슬리,58.0
1105,벤 포스터,20.0
1106,벤자민 브랫,10.0
1107,벤자민 워커,6.0
1108,벨렌 루에다,6.0
1109,벳시 러셀,2.0
1110,변영희,2.0
1111,변요한,14.0
1112,변준석,2.0
1113,변현우,2.0
1114,변희봉,18.0
1115,보라,2.0
1116,보아,6.0
1117,보이드 홀브룩,12.0
1118,보자나 노바코빅,2.0
1119,보킴 우드바인,2.0
1120,봉태규,4.0
1121,브누아 브리에르,2.0
1122,브누와 뽀엘부르드,4.0
1123,브라이스 달라스 하워드,18.0
1124,브라이언 게라그티,2.0
1125,브라이언 콕스,8.0
1126,브라이언 크랜스톤,8.0
