,movieCd,starScore,userCount
870,20080062,7.07,2908
871,20162065,7.57,3828
872,20141224,6.13,4220
873,20164421,7.11,3865
874,20177501,9.19,3052
875,20156708,7.27,2085
876,20110612,7.93,1314
877,20126686,8.55,3038
878,20161723,8.21,5326
879,20148748,8.51,5534
880,20122625,7.16,1378
881,20128247,8.14,422
882,20080829,5.89,2418
883,20168754,6.61,3035
884,20155826,5.98,3858
885,20110250,8.86,1182
886,20125338,6.77,1516
887,20143754,8.66,2974
888,20090860,8.53,587
889,20143422,4.91,2183
890,20136062,7.75,3105
891,20125406,6.91,2539
892,20100210,9.26,3465
893,20090578,8.28,3740
894,20178672,9.1,920
895,20127494,9.11,6578
896,20128691,7.07,2335
897,20174801,9.18,2867
898,20178321,8.69,1118
899,20127546,7.21,6862
900,20151421,7.59,1599
901,20161843,7.2,1588
902,20124349,6.68,1951
903,20164521,8.38,1286
904,20100766,7.06,1914
905,20147968,7.94,1533
906,20090449,8.61,1309
907,20110581,8.15,1197
908,20136337,7.4,1599
909,20149401,8.38,1538
910,20150966,8.05,2189
911,20154907,6.15,2848
912,20090562,2.89,1980
913,20158485,8.45,18133
914,20168282,7.97,3313
915,20090513,8.38,1141
916,20157501,6.54,1790
917,20134592,8.95,618
918,20163884,8.73,1156
919,20151815,8.38,1013
920,20178641,8.87,632
921,20100979,7.4,1449
922,20140144,5.57,4899
923,20119627,9.3,3846
924,20139964,8.26,2258
925,20090459,7.27,1840
926,20071003,8.35,1133
927,20080962,8.65,653
928,20148795,7.72,1580
929,20150942,8.54,3619
930,20122843,7.82,1582
931,20119720,6.84,1925
932,20071014,5.79,249
933,20080965,7.45,1913
934,20149978,7.94,698
935,20090090,7.07,1158
936,20090555,5.84,1115
937,20149037,6,1911
938,20159641,7.87,2470
939,20090345,3.81,1525
940,20101006,8.07,1182
941,20133924,7.3,355
942,20130574,9.02,3495
943,20144523,8.57,1315
944,20070637,8.1,2525
945,20153702,8.75,1309
946,20127887,7.18,231
947,20147096,6.2,1386
948,20181561,9.49,2135
949,20155881,7.95,746
950,20129626,7.99,1371
951,20150565,8.91,2386
952,20157158,8.28,1755
953,20113889,8.55,445
954,20127108,8.11,1184
955,20153087,7.51,1999
956,20112708,8.06,282
957,20135370,8.35,2020
958,20100292,8.04,1599
959,20142421,7.65,2138
960,20124021,7.61,3116
961,20080010,5.81,1794
962,20090557,7.49,1796
963,20081094,5.8,1578
964,20159059,8.3,878
965,20157041,7.84,1131
966,20090572,5.74,1058
967,20150564,7.43,2833
968,20080743,5.42,1055
969,20178230,8.12,1391
970,20080659,6.7,1057
971,20080349,9.07,2657
972,20113636,7.41,1177
973,20100211,8.42,722
974,20144461,6.92,1617
975,20162183,8.75,1169
976,20100794,6.19,1701
977,20148686,7.41,2396
978,20162704,7.85,1165
979,20143543,7.86,1443
980,20090288,7.02,3169
981,20166101,7.98,1998
982,20113472,8.89,1726
983,20080363,7.09,828
984,20123421,5.28,373
985,20070585,8.99,15123
986,20080014,8.36,1002
987,20170321,8.39,3195
988,20080397,4.13,1820
989,20125427,8.34,564
990,20090304,2.52,2373
991,20090929,4.74,811
992,20111774,6.86,1382
993,20122785,6.27,3531
994,20080963,7.22,194
995,20133981,7.58,1465
996,20119277,8.34,2108
997,20119508,7.41,668
998,20122803,8.68,425
999,20129166,7.63,1787
1000,20156161,7.99,2502
1001,20135369,7.84,207
1002,20159748,7.24,1470
1003,20080142,7.51,1083
1004,20100379,8.14,302
1005,20149970,8.33,493
1006,20152871,8.39,1589
1007,20126306,8.44,2760
1008,20179187,9.14,5365
1009,20176947,9.41,2153
1010,20081623,4.11,1418
1011,20143510,5.77,2111
1012,20155761,8.26,391
1013,20112050,6.52,852
1014,20101378,8.22,1478
1015,20149948,8.31,1680
1016,20111757,5.69,943
1017,20123384,6.88,1745
1018,20140458,7.47,1008
1019,20090434,7.91,2244
1020,20140704,6.5,3782
1021,20071060,5.92,539
1022,20080874,5.03,1587
1023,20141602,7.86,1876
1024,20081390,7.17,489
1025,20090087,6.05,447
1026,20090950,6.18,822
1027,20081096,5.54,694
1028,20119529,7.53,1348
1029,20140524,7.56,1507
1030,20078561,8.45,539
1031,20090063,5.96,634
1032,20132821,9.04,2314
1033,20148728,7.82,1800
1034,20080141,7.25,516
1035,20124874,8.21,1094
1036,20161681,5.04,2402
1037,20155101,8.43,1649
1038,20090894,8.65,550
1039,20148877,8.03,785
1040,20119772,7.92,1577
1041,20136445,8.46,1523
1042,20135427,7.84,493
1043,20150385,8.37,1995
1044,20136308,7.49,165
1045,20142962,8.12,821
1046,20167154,8.62,798
1047,20124070,6.42,1488
1048,20090026,7.5,1599
1049,20081790,8.17,1003
1050,20167901,7.68,1886
1051,20100800,5.87,124
1052,20100769,7.13,5224
1053,20151021,8.78,2813
1054,20100077,7.26,2555
1055,20172244,5.26,2424
1056,20112175,6.86,1807
1057,20147612,7.35,1313
1058,20090403,8.07,291
1059,20126566,7,3603
1060,20143602,7.87,880
1061,20081334,3.59,1232
1062,20170964,8.09,665
1063,20148648,8.83,884
1064,20139265,7.26,2383
1065,20128747,6.63,2186
1066,20157175,8.55,1732
1067,20134122,8.78,3288
1068,20178395,8.19,1054
1069,20119556,8.42,267
1070,20100143,7.13,2670
1071,20119628,7.93,649
1072,20090284,9.12,2241
