,movieCd,movieNm,director1,director2,prdtYear,openDt,typeNm,repNationNm,repGenreNm,companyCd
742,20173436,셰이프 오브 워터: 사랑의 모양,기예르모 델 토로, ,2017,20180222,장편,미국,어드벤처, 
743,20144322,도라에몽 : 스탠 바이 미,야마자키 타카시,야기 류이치,2014,20150212,장편,일본,애니메이션, 
744,20080254,어웨이크,조비 해롤드 , ,2007,20080327,장편,미국,스릴러, 
745,20163580,그레이트 월,장예모, ,2016,20170215,장편,미국,판타지, 
746,20090891,나인,롭 마샬, ,2009,20091231,장편,미국,멜로/로맨스, 
747,20136866,노예 12년,스티브 맥퀸, ,2013,20140227,장편,미국,드라마, 
748,20124055,아부의 왕,정승구, ,2012,20120621,장편,한국,코미디,20062414
749,20139981,캐치미,이현종, ,2013,20131218,장편,한국,코미디,20139998
750,20136058,무서운 이야기 2,김성호,김휘,2013,20130605,옴니버스,한국,미스터리,20100340
751,20101009,불량남녀,신근호, ,2010,20101104,장편,한국,코미디,20114682
752,20101008,레드,로베르트 슈벤트케, ,2010,20101103,장편,미국,액션,20101294
753,20122787,또 하나의 약속,김태윤, ,2013,20140206,장편,한국,드라마,20126195
754,20090455,오펀: 천사의 비밀,하우메 콜렛 세라, ,2009,20090820,장편,미국,공포(호러),20103668
755,20175522,카3: 새로운 도전,브라이언 피, ,2017,20170713,장편,미국,애니메이션, 
756,20169643,침묵,정지우, ,2017,20171102,장편,한국,드라마,20137896
757,20182352,"그날, 바다",김지영, ,2018,20180412,장편,한국,다큐멘터리,20173981
758,20145506,해어화,박흥식, ,2015,20160413,장편,한국,사극,20124216
759,20156559,계춘할망,창, ,2016,20160519,장편,한국,가족,20100004
760,20147931,소녀괴담,오인천, ,2014,20140702,장편,한국,미스터리,20123795
761,20126090,조선미녀삼총사,박제현, ,2013,20140129,장편,한국,코미디,20123935
762,20100168,친정엄마,유성엽, ,2010,20100422,장편,한국,드라마,20103093
763,20136800,넛잡: 땅콩 도둑들,피터 레페니오티스, ,2013,20140129,장편,한국,애니메이션,20111482
764,20157466,"로봇, 소리",이호재, ,2015,20160127,장편,한국,드라마,20168548
765,20167716,트리플 엑스 리턴즈,D.J. 카루소, ,2016,20170208,장편,미국,액션, 
766,20143512,위험한 상견례 2,김진영, ,2015,20150429,장편,한국,멜로/로맨스,20100938
767,20126388,잠베지아: 신비한 나무섬의 비밀,웨인 쏜리, ,2012,20121225,장편,남아프리카공화국,애니메이션, 
768,20110656,슈퍼 에이트,J.J. 에이브럼스, ,2011,20110616,장편,미국,SF, 
769,20111914,카운트다운,허종호, ,2011,20110929,장편,한국,드라마,20100068
770,20090926,식객2 : 김치전쟁,백동훈,김길형,2009,20100128,장편,한국,드라마,20100809
771,20151964,명탐정 코난 : 화염의 해바라기,시즈노 코분, ,2015,20150805,장편,일본,애니메이션, 
772,20080750,달콤한 거짓말,정정화, ,2008,20081218,장편,한국,멜로/로맨스,20100109
773,20159647,리얼,이사랑, ,2016,20170628,장편,한국,액션,20174961
774,20100977,적인걸: 측천무후의 비밀,서극, ,2010,20101006,장편,중국,액션,20112243
775,20113951,페이스메이커,김달중, ,2011,20120118,장편,한국,드라마,20063193
776,20136863,마담 뺑덕,임필성, ,2014,20141002,장편,한국,멜로/로맨스,20062560
777,20111249,카 2,존 라세터, ,2011,20110720,장편,미국,애니메이션, 
778,20171024,너의 췌장을 먹고 싶어,츠키카와 쇼, ,2017,20171025,장편,일본,드라마, 
779,20136063,순수의 시대,안상훈, ,2015,20150305,장편,한국,사극,20100411
780,20119418,생텀,앨리스터 그리어슨, ,2010,20110210,장편,미국,어드벤처, 
781,20090426,퍼블릭 에너미,마이클 만, ,2009,20090812,장편,미국,범죄,20101382
782,20090089,파르나서스 박사의 상상극장,테리 길리엄, ,2009,20091223,장편,미국,판타지,20103015
783,20124946,락아웃: 익스트림미션,제임스 매더스,스테판 St. 레게르,2012,20120614,장편,미국,SF, 
784,20101070,언스토퍼블,토니 스콧, ,2010,20101110,장편,미국,액션,20101507
785,20110899,세 얼간이,라즈쿠마르 히라니, ,2009,20110818,장편,인도,코미디, 
786,20090065,더 리더: 책 읽어주는 남자,스티븐 달드리, ,2008,20090326,장편,미국,드라마,20104368
787,20138223,노브레싱,조용선, ,2013,20131030,장편,한국,드라마,20062247
788,20124024,클라우드 아틀라스,앤디 워쇼스키,라나 워쇼스키,2012,20130109,장편,미국,SF, 
789,20167363,히든 피겨스,데오도르 멜피, ,2016,20170323,장편,미국,드라마, 
790,20170124,명탐정 코난:진홍의 연가,시즈노 코분, ,2017,20170802,장편,일본,애니메이션, 
791,20100198,대한민국 1%,조명남, ,2010,20100505,장편,한국,드라마,20100178
792,20159199,빅쇼트,아담 맥케이, ,2015,20160121,장편,미국,드라마, 
793,20090857,파라노말 액티비티,오렌 펠리, ,2007,20100113,장편,미국,공포(호러),20112090
794,20161762,반드시 잡는다,김홍선, ,2017,20171129,장편,한국,스릴러,20062097
795,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,박영균, ,2015,20151210,장편,한국,애니메이션,20020113
796,20158984,헌츠맨: 윈터스 워,세딕 니콜라스 트로얀, ,2016,20160413,장편,미국,액션, 
797,20128143,익스펜더블 2,사이먼 웨스트, ,2012,20120906,장편,미국,액션, 
798,20110882,밀레니엄 : 여자를 증오한 남자들,데이빗 핀처, ,2011,20120111,장편,미국,스릴러, 
799,20090319,오감도,허진호,오기환,2009,20090709,옴니버스,한국,드라마,20100419
800,20100962,"울지마, 톤즈",구수환, ,2010,20100909,장편,한국,다큐멘터리,20114875
801,20090044,작은 영웅 데스페로,샘 펠,로버트 스티븐헤이겐,2008,20090212,장편,미국,애니메이션, 
802,20090389,10억,조민호 , ,2009,20090806,장편,한국,스릴러,20062327
803,20101014,워리어스 웨이,이승무, ,2010,20101201,장편,미국,액션,20112284
804,20081132,아기와 나,김진영, ,2008,20080814,장편,한국,드라마,20111653
805,20110029,시즌 오브 더 위치: 마녀 호송단,도미닉 세나, ,2010,20110113,장편,미국,어드벤처, 
806,20151230,원라인,양경모, ,2016,20170329,장편,한국,범죄,20126335
807,20070566,마법에 걸린 사랑,케빈 리마, ,2007,20080110,장편,미국,멜로/로맨스, 
808,20130021,"협녀, 칼의 기억",박흥식, ,2015,20150813,장편,한국,사극,20100781
809,20163845,터닝메카드W: 블랙미러의 부활,홍헌표,김석원,2016,20170118,장편,한국,애니메이션,20172761
810,20110881,창수,이덕희, ,2013,20131128,장편,한국,드라마,20100027
811,20119630,랭고,고어 버빈스키, ,2011,20110303,장편,미국,애니메이션, 
812,20143511,오피스,홍원찬, ,2014,20150903,장편,한국,스릴러,20136898
813,20110313,모비딕,박인제, ,2011,20110609,장편,한국,스릴러,20100103
