,movieCd,showTm,actor1,actor2,actor3,actor4,actor5,actor6,watchGradeNm,producedCompany,distributor
174,20101223,111,차태현,강예원,이문수,고창석,장영남,천보근,12세이상관람가,(주)워터앤트리,(주)넥스트엔터테인먼트월드(NEW)
175,20080847,110,제임스 맥어보이,안젤리나 졸리,모건 프리먼, , , ,청소년관람불가, ,유니버설픽쳐스인터내셔널 코리아(유)
176,20148855,107,김윤석,유해진,송영창,장영남,정호빈,이준혁,15세이상관람가,(주)제이콘컴퍼니,(주)쇼박스
177,20139164,98,류승룡,유준상,이진욱,김성령,조여정,조은지,15세이상관람가,(주)바른손이앤에이,씨제이이앤엠(주)
178,20155702,117,폴 러드,마이클 더글라스,에반젤린 릴리,코리 스톨, , ,12세이상관람가, ,월트디즈니컴퍼니코리아(주)
179,20140226,144,마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,올랜도 블룸,크리스토퍼 리,12세이상관람가, ,워너브러더스 코리아(주)
180,20125048,169,마틴 프리먼,이안 맥켈런,리차드 아미티지,케이트 블란쳇,크리스토퍼 리,일라이저 우드,12세이상관람가, ,워너브러더스 코리아(주)
181,20140431,113,딜런 오브라이언,카야 스코델라리오,윌 폴터,토마스 생스터,이기홍, ,12세이상관람가, ,이십세기폭스코리아(주)
182,20101224,146,다니엘 래드클리프,엠마 왓슨,루퍼트 그린트, , , ,전체관람가,헤이데이필름,워너브러더스 코리아(주)
183,20149951,108,라이언 포터,스콧 애짓,다니엘 헤니,제이미 정,T.J. 밀러,제네시스 로드리게스,전체관람가, ,월트디즈니컴퍼니코리아(주)
184,20164621,106,톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리,12세이상관람가, ,워너브러더스 코리아(주)
185,20110896,106,브라이언 콕스,제임스 프랭코,프리다 핀토, , , ,12세이상관람가, ,이십세기폭스코리아(주)
186,20100213,119,황정민,김승훈,류승범,유해진,천호진,마동석,청소년관람불가,필름트레인,씨제이엔터테인먼트
